ID,Movie_Name,Movie_Score,Review_Count,Movie_Star_Distribution,Collect_Date,Username,Post_Date,Score,User_Comment,User_Comment_Distribution,Comment_Like_Count,Movie_Tags
0,"1988年的妮可 Nico, 1988",7.5,565,15.2%48.2%32.3%3.4%0.8%,2019-10-05,尾黑,2018-06-23,3,成本低廉的PPT电影，用Nico生命中最后一年发生的事给Nico的歌配上情节，倒不算尴尬。女猪演得不错，在电影中非常少见的中老年女摇滚艺人形象，不念惜过往不落魄潦倒观众再少也不挑在居民楼的草台场子也能煽动蹦哒，坦然接受衰老变丑接受对遗弃儿子的后悔但小破巡演的宅斗奸情该搞还是得搞,66%31%3%,4,"['音乐', '电影', '儿子', '丝绒', '人物', '传记', '传记片', '歌声', '巅峰', '人生', '经历', '故事', '电影节', '女主', '女人', '低谷', '幻觉', '光明节', '感觉', '影片']"
1,"1988年的妮可 Nico, 1988",7.5,565,15.2%48.2%32.3%3.4%0.8%,2019-10-05,大奇特(Grinch),2018-06-28,3,传记片能做到半真半假的真实，就成功一半了，然后就是走进人物的内心世界。这部影片做到了纪录片般的真实。,66%31%3%,4,"['音乐', '电影', '儿子', '丝绒', '人物', '传记', '传记片', '歌声', '巅峰', '人生', '经历', '故事', '电影节', '女主', '女人', '低谷', '幻觉', '光明节', '感觉', '影片']"
2,"1988年的妮可 Nico, 1988",7.5,565,15.2%48.2%32.3%3.4%0.8%,2019-10-05,西楼尘,2018-07-01,3,意大利房东记得他的嚣张，岔开大腿抽着烟说，我的计划是成为优雅的老女人。总念错名字的劳拉记得她的黯然，在病床前问起你有孩子吗，没有的话你真幸运。犹太经纪人记得她的洒脱，他们约定从伊维萨回来就录新专辑。妮可举着话筒，录下生命嚣张又黯然的声音，洒脱逃离布拉格人生舞台，死在光明节烛光中。,66%31%3%,2,"['音乐', '电影', '儿子', '丝绒', '人物', '传记', '传记片', '歌声', '巅峰', '人生', '经历', '故事', '电影节', '女主', '女人', '低谷', '幻觉', '光明节', '感觉', '影片']"
3,"1988年的妮可 Nico, 1988",7.5,565,15.2%48.2%32.3%3.4%0.8%,2019-10-05,张晚禾,2018-06-28,3,意大利电影周开幕片,66%31%3%,0,"['音乐', '电影', '儿子', '丝绒', '人物', '传记', '传记片', '歌声', '巅峰', '人生', '经历', '故事', '电影节', '女主', '女人', '低谷', '幻觉', '光明节', '感觉', '影片']"
4,"1988年的妮可 Nico, 1988",7.5,565,15.2%48.2%32.3%3.4%0.8%,2019-10-05,汪金卫,2018-06-29,3,【中国电影资料馆展映】歌星Nico的最后三年，青春不再，人气不再，衰老暴躁，在漂泊不定的巡回演唱、吸毒、与儿子修复关系中度过。在共产主义的布拉格高歌一曲是全片亮点。女主演得不错，但除了迷幻闪回，整体更像流水账。三颗星全给Nico的歌。片尾一曲《My Only Child》震撼人心,66%31%3%,1,"['音乐', '电影', '儿子', '丝绒', '人物', '传记', '传记片', '歌声', '巅峰', '人生', '经历', '故事', '电影节', '女主', '女人', '低谷', '幻觉', '光明节', '感觉', '影片']"
5,"1988年的妮可 Nico, 1988",7.5,565,15.2%48.2%32.3%3.4%0.8%,2019-10-05,seabisuit,2018-06-29,3,我曾到达巅峰也跌落过谷底发现都是空空如也，当摇滚少女变成毒瘾大妈，唯有那颗躁动的心能维持了，丹麦女星也是这样，表演很打动人。闪回和幻觉段落很迷醉辉煌的时刻，东欧裂变之前进入恐怖阴森的共产捷克。资料馆威尼斯影展开幕式。,66%31%3%,0,"['音乐', '电影', '儿子', '丝绒', '人物', '传记', '传记片', '歌声', '巅峰', '人生', '经历', '故事', '电影节', '女主', '女人', '低谷', '幻觉', '光明节', '感觉', '影片']"
6,"1988年的妮可 Nico, 1988",7.5,565,15.2%48.2%32.3%3.4%0.8%,2019-10-05,Lycidas,2018-07-16,3,很好奇，她在东欧旷野里因为戒断反应呕吐不止的时候，是不是也会回忆起年轻时那么多光芒四射名动天下的恋人们？还是真的如她所说，全都不在乎了。,66%31%3%,0,"['音乐', '电影', '儿子', '丝绒', '人物', '传记', '传记片', '歌声', '巅峰', '人生', '经历', '故事', '电影节', '女主', '女人', '低谷', '幻觉', '光明节', '感觉', '影片']"
7,"1988年的妮可 Nico, 1988",7.5,565,15.2%48.2%32.3%3.4%0.8%,2019-10-05,科克托马斯,2018-06-28,3,6.28 毕业看片，找工作苦涩,66%31%3%,1,"['音乐', '电影', '儿子', '丝绒', '人物', '传记', '传记片', '歌声', '巅峰', '人生', '经历', '故事', '电影节', '女主', '女人', '低谷', '幻觉', '光明节', '感觉', '影片']"
8,"1988年的妮可 Nico, 1988",7.5,565,15.2%48.2%32.3%3.4%0.8%,2019-10-05,美卡 mecca,2018-07-17,3,7/14@电博意大利影展 7。The struggling single mother musician on her last tour. 罗马尼亚光明节如谶一瞥。捷克快闪。Emptiness and Nibelungen Land。最终到达的地方。细腻、仿真、摄影与录音均可圈点。,66%31%3%,0,"['音乐', '电影', '儿子', '丝绒', '人物', '传记', '传记片', '歌声', '巅峰', '人生', '经历', '故事', '电影节', '女主', '女人', '低谷', '幻觉', '光明节', '感觉', '影片']"
9,"1988年的妮可 Nico, 1988",7.5,565,15.2%48.2%32.3%3.4%0.8%,2019-10-05,脱,2019-07-31,3,片名还是要叫妮可，就足以消解所有反思和深情。,66%31%3%,0,"['音乐', '电影', '儿子', '丝绒', '人物', '传记', '传记片', '歌声', '巅峰', '人生', '经历', '故事', '电影节', '女主', '女人', '低谷', '幻觉', '光明节', '感觉', '影片']"
10,"1988年的妮可 Nico, 1988",7.5,565,15.2%48.2%32.3%3.4%0.8%,2019-10-05,华盛顿樱桃树,2018-06-28,3,制作粗糙的学生毕业作品也就这样了吧？故事更是随意的东一下西一下。年份叙述毫无节奏感。我认为从头到尾的每一分钟都很糟糕。,66%31%3%,0,"['音乐', '电影', '儿子', '丝绒', '人物', '传记', '传记片', '歌声', '巅峰', '人生', '经历', '故事', '电影节', '女主', '女人', '低谷', '幻觉', '光明节', '感觉', '影片']"
11,"1988年的妮可 Nico, 1988",7.5,565,15.2%48.2%32.3%3.4%0.8%,2019-10-05,LEのn个晴天,2018-06-28,3,"“我的内心是如此的空虚，但是我的歌曲里，满是对你的爱”
“我到过顶峰，也到过低谷，全都是空空如也。”
威尼斯节精粹展映，意大利影展开幕影片。",66%31%3%,0,"['音乐', '电影', '儿子', '丝绒', '人物', '传记', '传记片', '歌声', '巅峰', '人生', '经历', '故事', '电影节', '女主', '女人', '低谷', '幻觉', '光明节', '感觉', '影片']"
12,"1988年的妮可 Nico, 1988",7.5,565,15.2%48.2%32.3%3.4%0.8%,2019-10-05,Captain_C,2018-06-21,3,#siff21# 音乐响起时，才是最真实的Christa。地下演出的那一场，癫狂放纵，随性自由，是经历一生坎坷的呐喊，感染力十足。,66%31%3%,2,"['音乐', '电影', '儿子', '丝绒', '人物', '传记', '传记片', '歌声', '巅峰', '人生', '经历', '故事', '电影节', '女主', '女人', '低谷', '幻觉', '光明节', '感觉', '影片']"
13,"1988年的妮可 Nico, 1988",7.5,565,15.2%48.2%32.3%3.4%0.8%,2019-10-05,LeonBible,2018-07-14,3,2018106 电博。原来是与菲利普加瑞尔合作《内心的伤痕》的Nico传记。整片以一种缓慢甚至于笨拙的姿态讲述Nico逝世前的生活状态，故事节奏显得沉闷而无趣。,66%31%3%,0,"['音乐', '电影', '儿子', '丝绒', '人物', '传记', '传记片', '歌声', '巅峰', '人生', '经历', '故事', '电影节', '女主', '女人', '低谷', '幻觉', '光明节', '感觉', '影片']"
14,"1988年的妮可 Nico, 1988",7.5,565,15.2%48.2%32.3%3.4%0.8%,2019-10-05,不是异,2018-07-07,3,The morning is small，the evening is tall.尼伯龙根、空空如也、留在身后。,66%31%3%,1,"['音乐', '电影', '儿子', '丝绒', '人物', '传记', '传记片', '歌声', '巅峰', '人生', '经历', '故事', '电影节', '女主', '女人', '低谷', '幻觉', '光明节', '感觉', '影片']"
15,"1988年的妮可 Nico, 1988",7.5,565,15.2%48.2%32.3%3.4%0.8%,2019-10-05,大 蜹 蜹,2018-08-05,3,太用力了。。,66%31%3%,0,"['音乐', '电影', '儿子', '丝绒', '人物', '传记', '传记片', '歌声', '巅峰', '人生', '经历', '故事', '电影节', '女主', '女人', '低谷', '幻觉', '光明节', '感觉', '影片']"
16,"1988年的妮可 Nico, 1988",7.5,565,15.2%48.2%32.3%3.4%0.8%,2019-10-05,凤瞳,2019-09-04,3,第74届威尼斯电影节地平线单元最佳影片 被仰望的传奇 巅峰过后的自我,66%31%3%,0,"['音乐', '电影', '儿子', '丝绒', '人物', '传记', '传记片', '歌声', '巅峰', '人生', '经历', '故事', '电影节', '女主', '女人', '低谷', '幻觉', '光明节', '感觉', '影片']"
17,"1988年的妮可 Nico, 1988",7.5,565,15.2%48.2%32.3%3.4%0.8%,2019-10-05,五月和七月,2018-06-28,3,"其实演的很不错，就是还是会出戏，毕竟容颜不是那么相似……
不停闪回的片段倒是让人有些联接，布拉格的那出非法演唱会很赞，还有一直在身边的录音设备。",66%31%3%,0,"['音乐', '电影', '儿子', '丝绒', '人物', '传记', '传记片', '歌声', '巅峰', '人生', '经历', '故事', '电影节', '女主', '女人', '低谷', '幻觉', '光明节', '感觉', '影片']"
18,"1988年的妮可 Nico, 1988",7.5,565,15.2%48.2%32.3%3.4%0.8%,2019-10-05,本位,2018-07-14,3,我也不知道这算不算是音乐类传记片在编剧上比较容易出现的顺拐，不太喜欢这种把所有人物情绪变化都要糅入最近的一场演唱中的做法，这样的处理出现次数多了后会让我觉得是有些过于刻意的联系。,66%31%3%,1,"['音乐', '电影', '儿子', '丝绒', '人物', '传记', '传记片', '歌声', '巅峰', '人生', '经历', '故事', '电影节', '女主', '女人', '低谷', '幻觉', '光明节', '感觉', '影片']"
19,"1988年的妮可 Nico, 1988",7.5,565,15.2%48.2%32.3%3.4%0.8%,2019-10-05,akasa|呆,2018-06-16,3,Young people are boring/But the world belongs to them/Do you really believe it/No/赶紧回去听solo Don't call me Nico call me by my real name ,66%31%3%,2,"['音乐', '电影', '儿子', '丝绒', '人物', '传记', '传记片', '歌声', '巅峰', '人生', '经历', '故事', '电影节', '女主', '女人', '低谷', '幻觉', '光明节', '感觉', '影片']"
20,"1988年的妮可 Nico, 1988",7.5,565,15.2%48.2%32.3%3.4%0.8%,2019-10-05,Jacqueline,2018-07-16,3,我到过顶峰也到过谷底，都空空如也。我一直在找一种声音。,66%31%3%,0,"['音乐', '电影', '儿子', '丝绒', '人物', '传记', '传记片', '歌声', '巅峰', '人生', '经历', '故事', '电影节', '女主', '女人', '低谷', '幻觉', '光明节', '感觉', '影片']"
21,"1988年的妮可 Nico, 1988",7.5,565,15.2%48.2%32.3%3.4%0.8%,2019-10-05,chushizhang,2018-08-17,3,cinematography多有出彩之处，但无论是角色还是演员的问题或是有意为之，被设定为经历过风浪的Nico行为像一只草原上的动物，情感虽然不能说不丰沛，但动机模糊，思维单线条。其他角色的单薄更是雪上加霜。,66%31%3%,0,"['音乐', '电影', '儿子', '丝绒', '人物', '传记', '传记片', '歌声', '巅峰', '人生', '经历', '故事', '电影节', '女主', '女人', '低谷', '幻觉', '光明节', '感觉', '影片']"
22,"1988年的妮可 Nico, 1988",7.5,565,15.2%48.2%32.3%3.4%0.8%,2019-10-05,INFITHELLs,2018-06-21,3,SIFF2018…7/10 看來是真樂迷了，視角沒能嚴守、敘事邏輯或缺都不成問題⋯⋯橫移鏡頭下的明日派對就夠哭的了。I’ll have it hideous as life it is…,66%31%3%,0,"['音乐', '电影', '儿子', '丝绒', '人物', '传记', '传记片', '歌声', '巅峰', '人生', '经历', '故事', '电影节', '女主', '女人', '低谷', '幻觉', '光明节', '感觉', '影片']"
23,"1988年的妮可 Nico, 1988",7.5,565,15.2%48.2%32.3%3.4%0.8%,2019-10-05,王哈哈,2018-06-28,3,"其实这个导演是有感觉的，某些片段颇有味道，也确实对人物内心有不少挖掘。不过人物转变有些突兀，感觉是完全没铺垫够就被时间强行转变了。
随身携带的录音器是个很好的线索，应当有更多着墨和阐释的。
虽不成熟，但有感觉总比没感觉好，好好打磨剧本，熟练导演技巧，应该会有更好的作品。",66%31%3%,0,"['音乐', '电影', '儿子', '丝绒', '人物', '传记', '传记片', '歌声', '巅峰', '人生', '经历', '故事', '电影节', '女主', '女人', '低谷', '幻觉', '光明节', '感觉', '影片']"
24,"1988年的妮可 Nico, 1988",7.5,565,15.2%48.2%32.3%3.4%0.8%,2019-10-05,James Brown,2017-08-31,3,对Nico的印象之来自地下丝绒和切尔西女孩，不过这电影是Nico的传记吗？明明就是Christa。,66%31%3%,1,"['音乐', '电影', '儿子', '丝绒', '人物', '传记', '传记片', '歌声', '巅峰', '人生', '经历', '故事', '电影节', '女主', '女人', '低谷', '幻觉', '光明节', '感觉', '影片']"
